z,mu,sigma
0.32869000,41.13399000,0.11990000
0.32874000,41.12827000,0.17530000
0.32909000,41.09302000,0.14020000
0.32930000,42.20032000,200.95510000
0.32959000,41.25571000,0.09860000
0.32988000,41.10156000,0.21050000
0.33000000,41.36497000,0.21090000
0.33041000,41.00674000,0.19930000
0.33047000,41.20651000,0.18930000
0.33054000,41.32269000,0.12930000
0.33070000,41.23123000,0.12430000
0.33121000,41.34494000,0.12680000
0.33169000,42.54940000,191.48330000
0.33186000,41.23828000,0.11490000
0.33191000,41.09795000,0.29580000
0.33239000,41.05229000,0.13080000
0.33257000,41.07062000,0.11950000
0.33336000,41.22274000,0.11750000
0.33352000,41.09830000,0.10970000
0.33352000,41.14660000,0.14900000
0.33386000,41.51629000,0.16460000
0.33389000,41.09655000,0.22120000
0.33403000,41.33285000,0.22110000
0.33403000,41.52916000,0.16130000
0.33423000,41.22336000,0.12210000
0.33470000,41.27318000,0.12870000
0.33472000,41.17467000,0.21000000
0.33479000,41.35422000,0.21080000
0.33485000,41.43045000,0.22270000
0.33513000,41.11304000,0.13000000
0.33520000,42.21636000,15.65500000
0.33549000,41.20914000,0.13500000
0.33584000,41.31977000,0.17830000
0.33633000,41.13656000,0.24690000
0.33662000,41.10509000,0.15660000
0.33681000,41.40221000,0.31030000
0.33683000,41.21969000,0.11550000
0.33720000,41.11461000,0.09890000
0.33743000,41.10457000,0.18770000
0.33753000,41.21254000,0.08890000
0.33754000,41.43363000,0.22150000
0.33759000,41.39351000,0.12250000
0.33778000,40.99379000,0.14570000
0.33780000,41.18260000,0.21090000
0.33784000,41.36740000,0.17700000
0.33802000,41.20249000,0.10910000
0.33811000,42.34314000,197.61170000
0.33828000,41.29239000,0.14370000
0.33846000,40.87733000,0.21610000
0.33899000,41.12532000,0.25240000
0.33920000,41.41143000,0.21250000
0.34037000,41.14960000,0.19300000
0.34105000,41.64473000,0.29440000
0.34157000,41.11123000,0.18790000
0.34175000,41.28327000,0.24720000
0.34180000,41.15902000,0.15090000
0.34224000,41.47595000,0.16580000
0.34273000,40.60507000,338.16090000
0.34291000,40.95115000,0.35180000
0.34304000,41.62383000,0.22950000
0.34305000,41.40908000,0.29620000
0.34307000,41.44534000,0.13300000
0.34313000,41.38335000,0.13650000
0.34316000,42.74336000,224.71180000
0.34387000,41.34527000,0.19240000
0.34392000,41.24242000,0.14760000
0.34410000,42.49381000,283.25250000
