galaxy,R_kpc,Vobs_kms,e_Vobs_kms,gobs_mps2,gbar_mps2,gpred_mps2,log10_gobs,log10_gbar,log10_gpred,delta_dex
ESO116-G012,0.83,40.0,3.29,6.24728537724215e-11,2.3734249295241972e-11,6.611153719596541e-11,-10.204308654942288,-10.624624500288151,-10.179722744700115,-0.02458591024217327
ESO116-G012,1.38,51.5,2.96,6.22851947132523e-11,3.089297046087974e-11,7.763356127466296e-11,-10.205615173540993,-10.510140330845676,-10.10995049104308,-0.09566468249791349
ESO116-G012,1.85,67.9,3.45,8.076389861539025e-11,3.381615761975597e-11,8.209899461050509e-11,-10.092782725064149,-10.470875740893767,-10.085662161245764,-0.00712056381838444
ESO116-G012,2.68,80.2,2.93,7.777918664506616e-11,2.4024956776773172e-11,6.65988528002883e-11,-10.1091366026826,-10.619337384996598,-10.176533251712513,0.06739664902991294
ESO116-G012,3.19,83.3,3.08,7.049345142235928e-11,2.30963619659327e-11,6.503551571977916e-11,-10.151851225465744,-10.63645642281562,-10.186849411529838,0.03499818606409377
ESO116-G012,3.68,91.4,2.83,7.356886019795285e-11,2.227371665932629e-11,6.363365151448839e-11,-10.133305972427992,-10.652207309236273,-10.196313154760134,0.0630071823321412
ESO116-G012,4.13,102.0,5.4,8.163938917040963e-11,2.116242451184339e-11,6.171299398569339e-11,-10.088100253354705,-10.674434578045362,-10.209623383419936,0.1215231300652313
ESO116-G012,5.23,105.0,4.21,6.831661886448207e-11,1.6968002183011294e-11,5.41382939894714e-11,-10.165473635949537,-10.770369288617514,-10.266495433874569,0.10102179792503208
ESO116-G012,6.05,109.0,2.1,6.364247725270827e-11,1.3657353415333244e-11,4.7695015923432885e-11,-10.19625292399336,-10.864633452080342,-10.32152700188323,0.12527407788986977
ESO116-G012,6.81,108.0,2.1,5.550726818220129e-11,1.1279864009005794e-11,4.2718756388796415e-11,-10.255650146161024,-10.947696136212109,-10.369381398801242,0.11373125264021766
